user_ID,traj_ID,venue_ID,UTC_time,traj_Len,venue_category_name,longitude,latitude
10091295@N02,1,10,2007-09-29 01:28:07,3,Park,-3.1829573739644994,55.95515047337272
10091295@N02,1,28,2007-09-29 03:44:04,3,Structure,-3.1868621630188576,55.94824579547164
10091295@N02,1,17,2007-09-29 04:33:53,3,Structure,-3.1902347191097684,55.948767777436686
10159442@N00,2,9,2006-10-14 04:10:11,12,Cultural,-3.190637230008985,55.94980869047352
10159442@N00,2,1,2006-10-14 04:17:51,12,Historical,-3.199862034580875,55.94884683716422
10159442@N00,2,29,2006-10-14 04:22:48,12,Structure,-3.1952324337146703,55.94908885935436
10159442@N00,2,18,2006-10-14 04:36:36,12,Park,-3.202453709104388,55.95054091561817
10159442@N00,2,15,2006-10-14 04:51:21,12,Structure,-3.196984674391582,55.95182393800676
10159442@N00,2,8,2006-10-14 05:15:50,12,Historical,-3.193193944356141,55.952538583465206
10159442@N00,2,19,2006-10-14 05:24:01,12,Structure,-3.1892391019884583,55.95262047466306
10159442@N00,2,23,2006-10-14 05:30:43,12,Structure,-3.1847238000000044,55.95370758124997
10159442@N00,2,11,2006-10-14 05:39:12,12,Historical,-3.181937191191187,55.95460454054049
10159442@N00,2,10,2006-10-14 05:43:34,12,Park,-3.1829573739644994,55.95515047337272
10159442@N00,2,4,2006-10-14 06:18:29,12,Structure,-3.1751214683972875,55.95223434537238
10159442@N00,2,24,2006-10-14 06:23:35,12,Entertainment,-3.174234127139373,55.95074926405848
10287726@N02,3,17,2013-08-02 01:21:44,6,Structure,-3.1902347191097684,55.948767777436686
10287726@N02,3,2,2013-08-02 02:58:43,6,Historical,-3.1724675937052966,55.95276297997137
10287726@N02,3,3,2013-08-02 03:47:54,6,Museum,-3.190347155095568,55.9467227646501
10287726@N02,3,29,2013-08-02 03:55:15,6,Structure,-3.1952324337146703,55.94908885935436
10287726@N02,3,9,2013-08-02 04:15:29,6,Cultural,-3.190637230008985,55.94980869047352
10287726@N02,3,8,2013-08-02 05:56:29,6,Historical,-3.193193944356141,55.952538583465206
10287726@N02,4,17,2013-08-03 01:42:09,5,Structure,-3.1902347191097684,55.948767777436686
10287726@N02,4,29,2013-08-03 02:41:26,5,Structure,-3.1952324337146703,55.94908885935436
10287726@N02,4,1,2013-08-03 02:45:33,5,Historical,-3.199862034580875,55.94884683716422
