user_ID,traj_ID,venue_ID,UTC_time,traj_Len,venue_category_name,longitude,latitude
10482493@N05,1,20,2013-10-17 05:49:43,4,Structure,-4.25317754353561,55.86441777836411
10482493@N05,1,16,2013-10-17 06:02:21,4,Shopping,-4.255375836084915,55.86053728183968
10482493@N05,1,21,2013-10-17 08:27:23,4,Museum,-4.25158601294498,55.859934364077695
10482493@N05,1,2,2013-10-17 09:54:50,4,Transport,-4.250727638646297,55.86149567248896
11037560@N04,2,13,2011-06-18 01:48:25,3,Religion,-4.234412937614692,55.86270032844042
11037560@N04,2,21,2011-06-18 04:01:14,3,Museum,-4.25158601294498,55.859934364077695
11037560@N04,2,2,2011-06-18 05:48:22,3,Transport,-4.250727638646297,55.86149567248896
11037560@N04,3,2,2011-06-19 03:36:15,3,Transport,-4.250727638646297,55.86149567248896
11037560@N04,3,21,2011-06-19 05:41:09,3,Museum,-4.25158601294498,55.859934364077695
11037560@N04,3,16,2011-06-19 05:42:47,3,Shopping,-4.255375836084915,55.86053728183968
112042056@N06,4,2,2014-01-15 22:43:29,4,Transport,-4.250727638646297,55.86149567248896
112042056@N06,4,10,2014-01-16 02:50:25,4,Education,-4.288902204592891,55.8719939645088
112042056@N06,4,21,2014-01-16 06:15:07,4,Museum,-4.25158601294498,55.859934364077695
112042056@N06,4,26,2014-01-16 06:43:52,4,Museum,-4.290447339401815,55.86847013524039
11452054@N00,5,28,2006-09-23 03:50:20,3,Structure,-4.261300118451011,55.864777521639816
11452054@N00,5,2,2006-09-23 03:57:10,3,Transport,-4.250727638646297,55.86149567248896
11452054@N00,5,13,2006-09-23 04:03:39,3,Religion,-4.234412937614692,55.86270032844042
12982579@N00,6,11,2012-09-16 02:06:28,5,Education,-4.264269125992071,55.866234078372784
12982579@N00,6,26,2012-09-16 04:02:59,5,Museum,-4.290447339401815,55.86847013524039
12982579@N00,6,25,2012-09-16 06:58:40,5,Museum,-4.294561920863311,55.86907381294964
12982579@N00,6,20,2012-09-16 09:22:28,5,Structure,-4.25317754353561,55.86441777836411
12982579@N00,6,28,2012-09-16 10:00:20,5,Structure,-4.261300118451011,55.864777521639816
14086506@N02,7,2,2009-07-17 23:52:41,6,Transport,-4.250727638646297,55.86149567248896
14086506@N02,7,16,2009-07-18 00:33:26,6,Shopping,-4.255375836084915,55.86053728183968
14086506@N02,7,1,2009-07-18 01:10:09,6,Transport,-4.258101169014088,55.85792013480796
14086506@N02,7,12,2009-07-18 02:52:12,6,Education,-4.25708622437137,55.86211197872341
14086506@N02,7,21,2009-07-18 03:07:33,6,Museum,-4.25158601294498,55.859934364077695
14086506@N02,7,14,2009-07-18 04:04:11,6,Religion,-4.250646,55.85346542105263
14578360@N00,8,9,2007-05-01 02:05:34,3,Education,-4.285801843195263,55.87218430769239
14578360@N00,8,10,2007-05-01 02:44:50,3,Education,-4.288902204592891,55.8719939645088
14578360@N00,8,15,2007-05-01 03:17:23,3,Shopping,-4.292544210306379,55.87441117270186
16312054@N06,9,12,2009-08-10 06:23:55,5,Education,-4.25708622437137,55.86211197872341
16312054@N06,9,20,2009-08-10 06:33:35,5,Structure,-4.25317754353561,55.86441777836411
16312054@N06,9,16,2009-08-10 07:35:17,5,Shopping,-4.255375836084915,55.86053728183968
16312054@N06,9,21,2009-08-10 07:42:40,5,Museum,-4.25158601294498,55.859934364077695
16312054@N06,9,1,2009-08-10 07:49:37,5,Transport,-4.258101169014088,55.85792013480796
16497759@N07,10,19,2012-03-08 22:45:35,3,Structure,-4.288323547169811,55.85990364420503
16497759@N07,10,11,2012-03-09 00:21:06,3,Education,-4.264269125992071,55.866234078372784
16497759@N07,10,28,2012-03-09 00:31:08,3,Structure,-4.261300118451011,55.864777521639816
16516058@N03,11,12,2012-09-25 22:54:03,5,Education,-4.25708622437137,55.86211197872341
16516058@N03,11,1,2012-09-25 23:41:23,5,Transport,-4.258101169014088,55.85792013480796
16516058@N03,11,16,2012-09-25 23:46:51,5,Shopping,-4.255375836084915,55.86053728183968
16516058@N03,11,21,2012-09-26 05:21:37,5,Museum,-4.25158601294498,55.859934364077695
16516058@N03,11,2,2012-09-26 05:30:46,5,Transport,-4.250727638646297,55.86149567248896
17358831@N00,12,28,2009-03-19 04:25:11,3,Structure,-4.261300118451011,55.864777521639816
17358831@N00,12,11,2009-03-19 04:28:24,3,Education,-4.264269125992071,55.866234078372784
17358831@N00,12,16,2009-03-19 08:41:43,3,Shopping,-4.255375836084915,55.86053728183968
17424601@N00,13,1,2007-07-01 01:49:22,3,Transport,-4.258101169014088,55.85792013480796
17424601@N00,13,2,2007-07-01 01:51:56,3,Transport,-4.250727638646297,55.86149567248896
17424601@N00,13,21,2007-07-01 03:52:23,3,Museum,-4.25158601294498,55.859934364077695
17643132@N00,14,13,2011-07-08 18:53:14,4,Religion,-4.234412937614692,55.86270032844042
17643132@N00,14,2,2011-07-08 21:56:48,4,Transport,-4.250727638646297,55.86149567248896
17643132@N00,14,21,2011-07-08 22:05:49,4,Museum,-4.25158601294498,55.859934364077695
17643132@N00,14,16,2011-07-08 22:09:22,4,Shopping,-4.255375836084915,55.86053728183968
20483509@N00,15,9,2011-03-20 05:40:16,3,Education,-4.285801843195263,55.87218430769239
20483509@N00,15,26,2011-03-20 06:01:55,3,Museum,-4.290447339401815,55.86847013524039
20483509@N00,15,2,2011-03-20 07:03:22,3,Transport,-4.250727638646297,55.86149567248896
21047061@N04,16,1,2007-04-13 09:03:16,3,Transport,-4.258101169014088,55.85792013480796
21047061@N04,16,16,2007-04-13 09:03:25,3,Shopping,-4.255375836084915,55.86053728183968
21047061@N04,16,2,2007-04-13 13:22:03,3,Transport,-4.250727638646297,55.86149567248896
22087304@N07,17,2,2008-10-31 13:00:00,4,Transport,-4.250727638646297,55.86149567248896
22087304@N07,17,9,2008-10-31 13:00:00,4,Education,-4.285801843195263,55.87218430769239
22087304@N07,17,10,2008-10-31 13:00:00,4,Education,-4.288902204592891,55.8719939645088
22087304@N07,17,21,2008-10-31 13:00:00,4,Museum,-4.25158601294498,55.859934364077695
22087304@N07,18,16,2009-10-31 13:00:00,3,Shopping,-4.255375836084915,55.86053728183968
22087304@N07,18,21,2009-10-31 13:00:00,3,Museum,-4.25158601294498,55.859934364077695
22087304@N07,18,26,2009-10-31 13:00:00,3,Museum,-4.290447339401815,55.86847013524039
22087304@N07,19,17,2010-09-30 14:00:00,3,Museum,-4.30770575,55.83081824999999
22087304@N07,19,26,2010-09-30 14:00:00,3,Museum,-4.290447339401815,55.86847013524039
22087304@N07,19,27,2010-09-30 14:00:00,3,Structure,-4.317774888888886,55.82766903030305
22087304@N07,20,15,2010-11-30 13:00:00,3,Shopping,-4.292544210306379,55.87441117270186
22087304@N07,20,25,2010-11-30 13:00:00,3,Museum,-4.294561920863311,55.86907381294964
22087304@N07,20,26,2010-11-30 13:00:00,3,Museum,-4.290447339401815,55.86847013524039
22751315@N05,21,1,2011-06-19 05:14:07,3,Transport,-4.258101169014088,55.85792013480796
22751315@N05,21,21,2011-06-19 05:15:30,3,Museum,-4.25158601294498,55.859934364077695
22751315@N05,21,2,2011-06-19 05:17:20,3,Transport,-4.250727638646297,55.86149567248896
23363966@N02,22,26,2007-07-26 03:09:40,3,Museum,-4.290447339401815,55.86847013524039
